	louvain
798	4
799	0
800	2
801	4
802	0
803	2
804	1
805	0
806	1
807	1
808	2
809	1
810	3
811	3
812	2
813	0
814	2
815	2
816	1
817	3
818	1
819	3
820	6
821	0
822	1
823	1
824	0
825	0
826	1
827	2
828	1
829	1
830	0
831	4
832	1
833	1
834	2
835	0
836	0
837	0
838	0
839	1
840	2
841	0
842	7
843	7
844	4
845	3
846	0
847	1
848	0
849	0
850	0
851	5
852	1
853	8
854	4
855	0
856	2
857	0
858	3
859	3
860	1
861	1
862	2
863	2
864	0
865	1
866	0
867	1
868	1
869	5
870	0
871	0
872	1
873	3
874	3
875	2
876	3
877	0
878	2
879	1
880	2
881	4
882	5
883	0
884	3
885	2
886	2
887	1
888	4
889	0
890	0
891	3
892	4
893	6
894	6
895	4
896	0
897	1
898	2
899	1
900	4
901	2
902	4
903	0
904	2
905	0
906	0
907	0
908	1
909	2
910	0
911	0
912	0
913	6
914	2
915	3
916	5
917	0
918	0
919	0
920	0
921	0
922	0
923	5
924	0
925	0
926	1
927	0
928	1
929	0
930	0
931	2
932	1
933	6
934	2
935	0
936	0
937	5
938	3
939	0
940	0
941	0
942	7
943	3
944	1
945	1
946	2
947	3
948	1
949	1
950	3
951	3
952	0
953	0
954	3
955	2
956	4
957	3
958	0
959	8
960	2
961	0
962	2
963	3
964	1
965	0
966	0
967	3
968	2
969	2
970	3
971	1
972	1
973	0
974	1
975	3
976	5
977	1
978	1
979	1
980	3
981	2
982	4
983	4
984	1
985	3
986	0
987	7
988	0
989	1
990	0
991	3
992	3
993	0
994	1
995	0
996	2
997	1
998	1
999	2
1000	3
1001	3
1002	2
1003	0
1004	0
1005	2
1006	4
1007	1
1008	2
1009	3
1010	7
1011	2
1012	1
1013	6
1014	1
1015	3
1016	3
1017	4
1018	0
1019	0
1020	3
1021	1
1022	1
1023	2
1024	1
1025	2
1026	1
1027	4
1028	2
1029	6
1030	3
1031	0
1032	0
1033	1
1034	3
1035	1
1036	5
1037	0
1038	0
1039	1
1040	3
1041	4
1042	4
1043	1
1044	8
1045	0
1046	0
1047	5
1048	4
1049	1
1050	2
1051	2
1052	2
1053	4
1054	0
1055	4
1056	1
1057	1
1058	0
1059	2
1060	1
1061	2
1062	3
1063	0
1064	1
1065	3
1066	0
1067	2
1068	5
1069	2
1070	1
1071	1
1072	5
1073	1
1074	4
1075	0
1076	1
1077	4
1078	0
1079	2
1080	4
1081	4
1082	0
1083	1
1084	2
1085	0
1086	0
1087	2
1088	4
1089	5
1090	4
1091	1
1092	1
1093	1
1094	5
1095	0
1096	4
1097	2
1098	0
1099	0
1100	0
1101	5
1102	0
1103	0
1104	2
1105	2
1106	0
1107	2
1108	1
1109	3
1110	6
1111	7
1112	4
1113	3
1114	2
1115	1
1116	0
1117	0
1118	6
1119	0
1120	1
1121	0
1122	6
1123	1
1124	3
1125	0
1126	1
1127	0
1128	0
1129	0
1130	0
1131	1
1132	3
1133	1
1134	1
1135	0
1136	0
1137	6
1138	1
1139	0
1140	8
1141	0
1142	2
1143	1
1144	6
1145	0
1146	1
1147	1
1148	1
1149	6
1150	0
1151	2
1152	1
1153	5
1154	2
1155	2
1156	1
1157	6
1158	1
1159	3
1160	0
1161	4
1162	0
1163	1
1164	1
1165	6
1166	1
1167	1
1168	0
1169	0
1170	6
1171	5
1172	4
1173	3
1174	3
1175	0
1176	4
1177	1
1178	1
1179	1
1180	1
1181	5
1182	2
1183	3
1184	1
1185	2
1186	2
1187	0
1188	2
1189	3
1190	0
1191	2
1192	4
1193	1
1194	0
1195	1
1196	0
1197	0
1198	1
1199	0
1200	1
1201	3
1202	1
1203	1
1204	0
1205	4
1206	1
1207	5
1208	0
1209	4
1210	1
1211	0
1212	0
1213	0
1214	0
1215	2
1216	2
1217	0
1218	3
1219	0
1220	0
1221	2
1222	3
1223	1
1224	1
1225	4
1226	4
1227	0
1228	4
1229	6
1230	7
1231	5
1232	1
1233	0
1234	1
1235	1
1236	3
1237	0
1238	1
1239	1
1240	0
1241	2
1242	3
1243	0
1244	0
1245	1
1246	1
1247	0
1248	0
1249	2
1250	0
1251	7
1252	0
1253	2
1254	1
1255	0
1256	0
1257	0
1258	3
1259	7
1260	6
1261	0
1262	1
1263	0
1264	3
1265	1
1266	7
1267	2
1268	1
1269	4
1270	7
1271	4
1272	0
1273	0
1274	3
1275	3
1276	5
1277	0
1278	2
1279	5
1280	0
1281	3
1282	5
1283	1
1284	1
1285	7
1286	1
1287	2
1288	8
1289	1
1290	0
1291	0
1292	1
1293	6
1294	2
1295	1
1296	0
1297	0
1298	1
1299	2
1300	3
1301	0
1302	1
1303	0
1304	0
1305	2
1306	0
1307	2
1308	6
1309	0
1310	3
1311	1
1312	7
1313	1
1314	0
1315	6
1316	0
1317	1
1318	3
1319	4
1320	0
1321	0
1322	2
1323	3
1324	0
1325	0
1326	2
1327	5
1328	1
1329	0
1330	1
1331	0
1332	0
1333	0
1334	1
1335	3
1336	4
1337	3
1338	0
1339	7
1340	1
1341	2
1342	1
1343	1
1344	0
1345	0
1346	0
1347	1
1348	0
1349	1
1350	0
1351	2
1352	2
1353	3
1354	0
1355	2
1356	3
1357	0
1358	2
1359	1
1360	1
1361	0
1362	4
1363	4
1364	3
1365	0
1366	3
1367	1
1368	0
1369	3
1370	4
1371	0
1372	3
1373	1
1374	0
1375	3
1376	2
1377	1
1378	2
1379	0
1380	2
1381	4
1382	5
1383	0
1384	3
1385	5
1386	1
1387	0
1388	0
1389	3
1390	1
1391	1
1392	0
1393	6
1394	2
1395	0
1396	6
1397	1
1398	4
1399	1
1400	3
1401	1
1402	2
1403	0
1404	1
1405	0
1406	1
1407	3
1408	0
1409	4
1410	0
1411	1
1412	4
1413	0
1414	0
1415	1
1416	0
1417	1
1418	1
1419	2
1420	0
1421	1
1422	0
1423	1
1424	1
1425	4
1426	6
1427	2
1428	1
1429	2
1430	4
1431	3
1432	7
1433	2
1434	4
1435	1
1436	2
1437	2
1438	0
1439	1
1440	0
1441	2
1442	0
1443	1
1444	0
1445	3
1446	2
1447	1
1448	2
1449	2
1450	0
1451	1
1452	4
1453	0
1454	0
1455	1
1456	1
1457	0
1458	1
1459	1
1460	0
1461	3
1462	2
1463	0
1464	0
1465	2
1466	1
1467	1
1468	1
1469	5
1470	6
1471	0
1472	1
1473	0
1474	3
1475	3
1476	1
1477	1
1478	4
1479	1
1480	0
1481	0
1482	1
1483	0
1484	2
1485	0
1486	4
1487	1
1488	3
1489	0
1490	3
1491	1
1492	0
1493	3
1494	3
1495	0
1496	7
1497	1
1498	2
1499	0
1500	2
1501	5
1502	2
1503	0
1504	1
1505	2
1506	3
1507	0
1508	1
1509	0
1510	4
1511	0
1512	1
1513	1
1514	3
1515	0
1516	1
1517	0
1518	0
1519	3
1520	0
1521	2
1522	0
1523	7
1524	1
1525	1
1526	2
1527	0
1528	1
1529	6
1530	1
1531	1
1532	2
1533	4
1534	5
1535	2
1536	3
1537	1
1538	2
1539	6
1540	1
1541	0
1542	3
1543	1
1544	4
1545	1
1546	0
1547	6
1548	1
1549	0
1550	1
1551	0
1552	1
1553	0
1554	0
1555	0
1556	0
1557	6
1558	2
1559	5
1560	0
1561	3
1562	0
1563	3
1564	3
1565	3
1566	0
1567	5
1568	2
1569	1
1570	1
1571	3
1572	1
1573	0
1574	7
1575	0
1576	0
1577	2
1578	1
1579	1
1580	0
1581	0
1582	0
1583	0
1584	1
1585	0
1586	0
1587	1
1588	0
1589	2
1590	5
1591	0
1592	5
1593	1
1594	0
1595	1
1596	0
1597	2
1598	0
1599	0
1600	1
1601	4
1602	4
1603	1
1604	4
1605	1
1606	1
1607	1
1608	1
1609	0
1610	3
1611	1
1612	1
1613	0
1614	1
1615	0
1616	2
1617	2
1618	0
1619	1
1620	1
1621	1
1622	3
1623	0
1624	0
1625	0
1626	5
1627	4
1628	2
1629	1
1630	0
1631	0
1632	1
1633	1
1634	0
1635	1
1636	4
1637	2
1638	1
1639	1
1640	1
1641	1
1642	1
1643	2
1644	5
1645	8
1646	1
1647	0
1648	2
1649	0
1650	0
1651	3
1652	6
1653	6
1654	3
1655	0
1656	0
1657	1
1658	7
1659	2
1660	0
1661	0
1662	5
1663	1
1664	3
1665	0
1666	1
1667	1
1668	0
1669	2
1670	0
1671	1
1672	3
1673	2
1674	1
1675	0
1676	0
1677	1
1678	1
1679	4
1680	2
1681	0
1682	6
1683	0
1684	5
1685	5
1686	0
1687	2
1688	2
1689	1
1690	5
1691	2
1692	1
1693	0
1694	5
1695	6
1696	1
1697	0
1698	0
1699	2
1700	8
1701	4
1702	0
1703	1
1704	0
1705	8
1706	2
1707	0
1708	4
1709	1
1710	5
1711	0
1712	1
1713	5
1714	0
1715	0
1716	0
1717	1
1718	3
1719	2
1720	0
1721	6
1722	3
1723	0
1724	1
1725	0
1726	4
1727	4
1728	0
1729	3
1730	0
1731	0
1732	0
1733	0
1734	1
1735	1
1736	0
1737	3
1738	3
1739	0
1740	1
1741	2
1742	2
1743	1
1744	3
1745	3
1746	4
1747	4
1748	2
1749	1
1750	1
1751	1
1752	0
1753	1
1754	0
1755	1
1756	5
1757	0
1758	0
1759	2
1760	1
1761	0
1762	1
1763	1
1764	1
1765	0
1766	0
1767	0
1768	5
1769	1
1770	4
1771	0
1772	0
1773	0
1774	2
1775	0
1776	0
1777	1
1778	3
1779	4
1780	1
1781	2
1782	0
1783	0
1784	0
1785	0
1786	0
1787	1
1788	2
1789	4
1790	0
1791	4
1792	1
1793	2
1794	0
1795	0
1796	0
1797	1
1798	2
1799	1
1800	1
1801	0
1802	3
1803	0
1804	1
1805	5
1806	1
1807	7
1808	0
1809	5
1810	1
1811	0
1812	1
1813	3
1814	0
1815	1
1816	2
1817	1
1818	3
1819	4
1820	0
1821	2
1822	6
1823	2
1824	6
1825	1
1826	2
1827	0
1828	0
1829	2
1830	0
1831	1
1832	7
1833	0
1834	2
1835	1
1836	1
1837	3
1838	0
1839	1
1840	0
1841	6
1842	2
1843	1
1844	2
1845	2
1846	3
1847	2
1848	6
1849	0
1850	0
1851	1
1852	1
1853	0
1854	0
1855	0
1856	0
1857	8
1858	1
1859	0
1860	5
1861	5
1862	1
1863	1
1864	0
1865	2
1866	0
1867	0
1868	1
1869	1
1870	2
1871	3
1872	1
1873	0
1874	0
1875	0
1876	0
1877	0
1878	1
1879	5
1880	1
1881	1
1882	1
1883	1
1884	0
1885	0
